week,home_team,away_team,spread,favorite_team,commence_time_mt
3,New York Jets,New England Patriots,-6.5,New York Jets,2024-09-19 18:15:00 MDT
3,Cleveland Browns,New York Giants,-6,Cleveland Browns,2024-09-22 11:00:00 MDT
3,Tennessee Titans,Green Bay Packers,-3,Tennessee Titans,2024-09-22 11:00:00 MDT
3,Indianapolis Colts,Chicago Bears,-1,Indianapolis Colts,2024-09-22 11:00:00 MDT
3,Minnesota Vikings,Houston Texans,-2.5,Houston Texans,2024-09-22 11:00:00 MDT
3,New Orleans Saints,Philadelphia Eagles,-2.5,New Orleans Saints,2024-09-22 11:00:00 MDT
3,Pittsburgh Steelers,Los Angeles Chargers,-1.5,Pittsburgh Steelers,2024-09-22 11:00:00 MDT
3,Tampa Bay Buccaneers,Denver Broncos,7,Tampa Bay Buccaneers,2024-09-22 11:00:00 MDT
3,Las Vegas Raiders,Carolina Panthers,-5.5,Las Vegas Raiders,2024-09-22 14:05:00 MDT
3,Seattle Seahawks,Miami Dolphins,-4.5,Seattle Seahawks,2024-09-22 14:05:00 MDT
3,Dallas Cowboys,Baltimore Ravens,-1,Baltimore Ravens,2024-09-22 14:25:00 MDT
3,Los Angeles Rams,San Francisco 49ers,-7,San Francisco 49ers,2024-09-22 14:25:00 MDT
3,Arizona Cardinals,Detroit Lions,-2.5,Detroit Lions,2024-09-22 14:25:00 MDT
3,Atlanta Falcons,Kansas City Chiefs,-3.5,Kansas City Chiefs,2024-09-22 18:20:00 MDT
3,Buffalo Bills,Jacksonville Jaguars,-5.5,Buffalo Bills,2024-09-23 17:30:00 MDT
3,Cincinnati Bengals,Washington Commanders,-7.5,Cincinnati Bengals,2024-09-23 18:15:00 MDT
